"edu_id","match_fam_id","edu_BirthYear","edu_GenderNum","edu_GenderNum.1","edu_ParentOcc","edu_ParentSES","edu_AdmissionYear","edu_YearStart","edu_YearFinish","edu_YearsOut","edu_SchoolLeavingAge","edu_LeaveIslands","edu_CompletedEdu","edu_FurtherEduVOther","edu_StaysCompletedEdu","adult_fam.id","adult_SES","adult_Fertility","deaths_id","deaths_DeathAge"
1462,210,1896,"1","1","Labourer",34.52,1903,1903,1909,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
2055,1004,1912,"1","1","",NA,1918,1918,1926,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1250,6,1884,"1","1","Farmer",51.61,1891,1891,1899,NA,15,"0",NA,NA,NA,NA,NA,NA,NA,NA
1784,1004,1903,"1","1","",NA,1910,1910,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1017,18,1872,"1","1","Boatman",57.2,1879,1879,1886,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1006,7,1871,"1","1","Farmer",51.61,1878,1878,1885,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1075,59,1877,"1","1","Labourer",34.52,1883,1883,1886,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
1141,93,1877,"1","1","Labourer",34.52,1886,1886,1888,NA,11,"0",NA,NA,NA,1242,51.61,1,NA,NA
1031,29,1872,"1","1","Labourer",34.52,1881,1881,1888,NA,16,"0",NA,NA,NA,NA,NA,NA,NA,NA
1681,1004,1902,"1","1","",NA,1910,1910,NA,NA,NA,"0","1","0",1,NA,NA,NA,NA,NA
2020,1004,1912,"1","1","",NA,1917,1917,1920,NA,8,"0",NA,NA,NA,NA,NA,NA,NA,NA
2599,700,1934,"1","1","Farm.Labourer",52.02,1939,1939,1940,NA,6,"0","1",NA,1,NA,NA,NA,NA,NA
2993,967,1948,"1","1","Steamship.Clerk",58.68,1953,1953,1957,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
2592,697,1934,"1","1","Council.Employer",68.95,1939,1939,1940,NA,6,"0","1",NA,1,NA,NA,NA,NA,NA
2684,739,1938,"1","1","Baker",39.63,1943,1943,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
