"edu_id","match_fam_id","edu_BirthYear","edu_GenderNum","edu_GenderNum.1","edu_ParentOcc","edu_ParentSES","edu_AdmissionYear","edu_YearStart","edu_YearFinish","edu_YearsOut","edu_SchoolLeavingAge","edu_LeaveIslands","edu_CompletedEdu","edu_FurtherEduVOther","edu_StaysCompletedEdu","adult_fam.id","adult_SES","adult_Fertility","deaths_id","deaths_DeathAge"
2139,423,1916,"1","1","Miner",33.2,1920,1920,1930,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1005,6,1871,"1","1","Farmer",51.61,1878,1878,1885,NA,14,"0",NA,NA,NA,927,51.61,3,NA,NA
2527,658,1930,"1","1","Green.Keeper",52.59,1936,1936,1944,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2389,557,1926,"1","1","Fisherman",52.66,1930,1930,1940,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1450,244,1894,"1","1","Customs.Officer",61.5,1902,1902,1905,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
1046,40,1873,"1","1","Lightkeeper",51.63,1881,1881,1886,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
1105,77,1871,"1","1","Farmer",51.61,1885,1885,1885,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1024,24,1871,"1","1","Servant",41.45,1880,1880,1884,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
2072,383,1913,"1","1","R.N.R.",57.72,1918,1918,1918,NA,5,"1",NA,NA,NA,NA,NA,NA,NA,NA
1205,124,1877,"1","1","Sexton",61.2,1889,1889,1889,NA,12,"0",NA,NA,NA,NA,NA,NA,NA,NA
1000,1,1870,"1","1","Farmer",51.61,1877,1877,1884,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1164,104,1875,"1","1","Coastguard",57.72,1886,1886,1889,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1424,232,1891,"1","1","Lightkeeper",51.63,1901,1901,1906,NA,15,"1",NA,NA,NA,NA,NA,NA,NA,NA
1273,81,1885,"1","1","Farmer",51.61,1893,1893,1899,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
2760,799,1936,"0","0","Hotel",60.56,1945,1945,1946,NA,10,"0","1",NA,1,NA,NA,NA,NA,NA
2134,421,1907,"0","0","Engineer",82.83,1920,1920,1920,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
2568,451,1932,"0","0","Labourer",34.52,1938,1938,1946,1,14,"0","1",NA,1,NA,NA,NA,NA,NA
2270,489,1920,"0","0","Painter",38.33,1925,1925,1929,NA,9,"0","1",NA,1,NA,NA,NA,NA,NA
1751,1004,1904,"0","0","",NA,1909,1909,1912,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2078,388,1909,"0","0","Sub.Lieut.R.N.S.",79.41,1918,1918,1918,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
1554,155,1896,"0","0","Labourer",34.52,1906,1906,1910,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
2196,452,1915,"0","0","Labourer",34.52,1922,1922,NA,NA,NA,"0","1",NA,1,NA,NA,NA,NA,NA
2521,654,1923,"0","0","Labourer",34.52,1935,1935,1937,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1559,191,1895,"0","0","Labourer",34.52,1906,1906,1909,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
2156,433,1910,"1","1","Coastguard",57.72,1921,1921,NA,NA,NA,"0","1",NA,1,NA,NA,NA,NA,NA
1560,224,1896,"0","0","Farmer",51.61,1906,1906,1911,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
1789,1004,1905,"0","0","",NA,1911,1911,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1597,1004,1900,"1","1","",NA,1907,1907,1911,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2430,589,1926,"1","1","Labourer",34.52,1931,1931,1940,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1728,1004,1903,"1","1","",NA,1911,1911,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1289,159,1884,"1","1","Lightkeeper",51.63,1893,1893,1894,NA,10,"0",NA,NA,NA,NA,NA,NA,NA,NA
1824,1004,1905,"1","1","",NA,1911,1911,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1892,1004,1905,"1","1","",NA,1913,1913,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1398,110,1893,"1","1","Farmer",51.61,1900,1900,1907,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1914,1004,1905,"1","1","",NA,1913,1913,1913,NA,8,"0",NA,NA,NA,NA,NA,NA,NA,NA
1925,1004,1911,"1","1","",NA,1914,1914,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1512,1004,1900,"1","1","",NA,1906,1906,1908,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
1175,52,1880,"1","1","Blacksmith",46.09,1887,1887,1887,NA,7,"0",NA,NA,NA,NA,NA,NA,NA,NA
1696,1004,1904,"1","1","",NA,1910,1910,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1884,1004,1909,"1","1","",NA,1913,1913,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1733,1004,1904,"1","1","",NA,1911,1911,1912,NA,8,"0",NA,NA,NA,NA,NA,NA,NA,NA
1161,18,1877,"1","1","Boatman",57.2,1886,1886,1890,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
2594,699,1934,"1","1","Electrician",57.47,1939,1939,1945,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2671,747,1930,"1","1","Bank.Manager",71.98,1942,1942,1943,NA,13,"0","0","1",NA,NA,NA,NA,NA,NA
2958,855,1947,"1","1","Farmer",51.61,1952,1952,1955,NA,8,"1","0","1",NA,NA,NA,NA,NA,NA
2957,941,1947,"1","1","Airport.fireman",55.88,1952,1952,1962,NA,15,"1",NA,NA,NA,NA,NA,NA,NA,NA
3001,974,1949,"1","1","Farm.Labourer",52.02,1953,1953,1964,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1954,1004,1911,"0","0","",NA,1915,1915,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2109,407,1909,"0","0","Coastguard",57.72,1919,1919,1923,NA,14,"1",NA,NA,NA,NA,NA,NA,NA,NA
2019,1004,1912,"0","0","",NA,1917,1917,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
2107,406,NA,"0","0","Motorman.for.Lifeboat",42.54,1919,1919,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1794,1004,1905,"0","0","",NA,1911,1911,1919,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1926,1004,1907,"0","0","",NA,1914,1914,1914,NA,7,"1",NA,NA,NA,NA,NA,NA,NA,NA
2086,145,1907,"0","0","Lightkeeper",51.63,1918,1918,1918,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2142,426,1907,"0","0","Lightkeeper",51.63,1920,1920,1921,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
2073,384,1912,"0","0","R.N.A.S.",57.72,1918,1918,1919,NA,7,"1",NA,NA,NA,NA,NA,NA,NA,NA
2459,610,1920,"0","0","Trinity.House",51.63,1932,1932,1934,NA,14,"1",NA,NA,NA,NA,NA,NA,NA,NA
2578,689,1933,"0","0","Labourer",34.52,1938,1938,1940,NA,7,"0","1",NA,1,NA,NA,NA,NA,NA
2448,589,1927,"0","0","Labourer",34.52,1932,1932,1942,1,15,"0","1",NA,1,NA,NA,NA,NA,NA
1702,1004,1902,"0","0","",NA,1910,1910,1913,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2523,655,1925,"0","0","Customs.Officer",61.5,1936,1936,1939,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2759,1004,1933,"1","1","Roads",NA,1945,1945,1946,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
1982,346,1911,"0","0","Farmer",51.61,1916,1916,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2050,1004,1909,"0","0","",NA,1918,1918,1918,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
1919,328,1910,"0","0","Cashier",78.76,1914,1914,1914,NA,4,"1",NA,NA,NA,NA,NA,NA,NA,NA
2938,924,1947,"0","0","Radio.Engineer",54.25,1951,1951,1952,NA,5,"1",NA,NA,NA,NA,NA,NA,NA,NA
1247,44,1884,"1","1","Labourer",34.52,1891,1891,1896,NA,12,"0",NA,NA,NA,NA,NA,NA,NA,NA
2470,615,1927,"1","1","Labourer",34.52,1933,1933,1941,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2878,512,1945,"0","0","Farmer",51.61,1950,1950,1956,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2688,760,1938,"1","1",".Army",57.72,1943,1943,1953,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2052,1004,1907,"1","1","",NA,1918,1918,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1536,274,1895,"0","0","Postman",45.47,1906,1906,1909,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
1803,1004,1906,"0","0","",NA,1910,1910,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1574,1004,1897,"0","0",".Pension",NA,1906,1906,1907,NA,10,"1",NA,NA,NA,NA,NA,NA,NA,NA
2027,363,1909,"0","0","Soldier",38.7,1917,1917,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
2181,444,1918,"0","0","Sailor",50.99,1922,1922,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1770,1004,1905,"0","0","",NA,1909,1909,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2066,379,1911,"0","0","R.A.F.",57.72,1918,1918,1919,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2294,1004,1921,NA,NA,"",NA,1926,1926,1934,NA,13,"0","1",NA,1,NA,NA,NA,NA,NA
2108,407,1911,"1","1","Coastguard",57.72,1919,1919,1923,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA
1432,194,1895,"1","1","Boatman",57.2,1901,1901,1909,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
2489,630,1929,"1","1","Lighthouse.Keeper",51.63,1934,1934,1936,1,7,"1",NA,NA,NA,NA,NA,NA,NA,NA
1868,1004,1902,"1","1","",NA,1912,1912,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1686,1004,1903,"1","1","",NA,1910,1910,NA,NA,NA,"0","1","0",1,NA,NA,NA,NA,NA
2600,701,1931,"1","1","Labourer",34.52,1939,1939,1939,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
1472,242,1897,"1","1","Farmer",51.61,1904,1904,1911,NA,14,"0","1","0",1,NA,NA,NA,4342,56
2418,580,1919,"1","1","Baker",39.63,1931,1931,1931,NA,12,"0",NA,NA,NA,NA,NA,NA,NA,NA
2690,632,NA,"1","1","Labourer",34.52,1943,1943,1949,NA,NA,"1","0","1",NA,NA,NA,NA,NA,NA
2930,919,1947,"0","0","Farm.Labourer",52.02,1951,1951,1962,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
2636,724,1933,"0","0","Labourer",34.52,1941,1941,1941,NA,8,"0","1",NA,1,NA,NA,NA,NA,NA
1938,1004,1910,"1","1","",NA,1915,1915,1922,NA,12,"0",NA,NA,NA,NA,NA,NA,NA,NA
1992,350,1905,"1","1","Marine",57.72,1916,1916,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1032,30,1871,"1","1","Coastguard",57.72,1881,1881,1886,NA,15,"0",NA,NA,NA,NA,NA,NA,NA,NA
1445,240,1895,"1","1","Labourer",34.52,1902,1902,1910,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1361,198,1887,"1","1","Diver",49.02,1898,1898,1898,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
1506,1004,1898,"1","1","",NA,1906,1906,1912,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2048,377,1908,"1","1","Shipwright",57.97,1917,1917,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1052,19,1875,"1","1","Carpenter",50,1882,1882,1889,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
3004,900,1949,"1","1","Builder",48.27,1953,1953,1954,NA,5,"1",NA,NA,NA,NA,NA,NA,NA,NA
2214,462,1920,"1","1","Farm.Labourer",52.02,1923,1923,1934,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1508,1004,1899,"1","1","",NA,1906,1906,1913,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
1300,166,1881,"1","1","Lightkeeper",51.63,1894,1894,1895,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1504,1004,1899,"1","1","",NA,1906,1906,1907,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2443,545,1927,"1","1","Club.Steward",58.56,1931,1931,1941,0,14,"0","1",NA,1,NA,NA,NA,NA,NA
1327,180,1889,"1","1","Mariner",50.99,1896,1896,1904,NA,15,"0",NA,NA,NA,1542,57.2,1,3807,73
2092,180,1915,"1","1","Sailor",50.99,1919,1919,1929,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2945,930,1947,"1","1","Quay.Hand",50.83,1951,1951,1962,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1146,97,1876,"1","1","Fisherman",52.66,1886,1886,1887,NA,11,"0",NA,NA,NA,NA,NA,NA,NA,NA
1622,1004,1899,"1","1","",NA,1908,1908,1914,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
1066,1,1875,"1","1","Farmer",51.61,1883,1883,1889,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
2025,362,1913,"1","1","R.N.R.",57.72,1917,1917,1918,NA,5,"1",NA,NA,NA,NA,NA,NA,NA,NA
1428,1004,NA,"1","1","",NA,1901,1901,1901,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1730,1004,1904,"1","1","",NA,1911,1911,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1113,82,1879,"1","1","Master.Mariner",61.88,1885,1885,1893,NA,14,"0",NA,NA,NA,NA,NA,NA,4033,30
1297,164,1887,"1","1","Hotel.Keeper",60.56,1894,1894,1898,NA,11,"0",NA,NA,NA,NA,NA,NA,NA,NA
1267,1004,NA,"1","1","",NA,1893,1893,1898,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1962,1004,1904,"1","1","",NA,1916,1916,1918,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
2360,538,1925,"1","1","Labourer",34.52,1928,1928,1939,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
2129,418,1916,"1","1","Farm.Labourer",52.02,1920,1920,1930,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1415,210,1894,"1","1","Labourer",34.52,1900,1900,1908,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1442,239,1892,"1","1","Lightkeeper",51.63,1902,1902,1902,NA,10,"1",NA,NA,NA,NA,NA,NA,NA,NA
1309,170,1885,"1","1","Coastguard",57.72,1895,1895,1899,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1866,1004,1906,"1","1","",NA,1912,1912,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2166,438,1915,"1","1","Farmer",51.61,1921,1921,1929,NA,14,"1","0","1",NA,NA,NA,NA,NA,NA
1379,209,1893,"1","1","Farmer",51.61,1899,1899,1900,NA,7,"0",NA,NA,NA,NA,NA,NA,NA,NA
1599,1004,1900,"1","1","",NA,1907,1907,1914,NA,14,"1",NA,NA,NA,NA,NA,NA,NA,NA
2159,381,1917,"1","1","Labourer",34.52,1921,1921,1931,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1139,50,1877,"1","1","Sailor",50.99,1886,1886,1889,NA,12,"0",NA,NA,NA,NA,NA,NA,NA,NA
1049,43,1874,"1","1","Labourer",34.52,1882,1882,1885,NA,11,"0",NA,NA,NA,NA,NA,NA,4547,72
1012,13,1871,"1","1","Labourer",34.52,1878,1878,1884,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
2520,653,1925,"0","0","Labourer",34.52,1935,1935,1937,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA
1452,245,1896,"1","1","Grocer",50.04,1903,1903,1904,NA,8,"0","0","1",NA,NA,NA,NA,NA,NA
3038,997,1950,"0","0","Boatman",57.2,1955,1955,1962,NA,12,"1","0","1",NA,NA,NA,NA,NA,NA
2566,682,1931,"0","0","R.A.F.",57.72,1938,1938,1940,3,9,"0","1",NA,1,NA,NA,NA,NA,NA
1699,1004,1901,"0","0","",NA,1910,1910,1915,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2898,895,1946,"0","0","Butcher",50.81,1950,1950,1950,NA,4,"1",NA,NA,NA,NA,NA,NA,NA,NA
2794,825,1942,"0","0","Labourer",34.52,1947,1947,1953,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
1707,1004,1902,"0","0","",NA,1910,1910,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2803,755,1942,"0","0","Farmer",51.61,1947,1947,1953,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2200,404,1917,"0","0","Fisherman",52.66,1922,1922,1931,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2731,1004,1933,"0","0","Evacuee",NA,1944,1944,1944,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
3039,968,1950,"0","0","Farmworker",52.02,1955,1955,1965,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2567,683,1932,"0","0","Bank.Manager",71.98,1938,1938,1941,NA,9,"0","1",NA,1,NA,NA,NA,NA,NA
2546,671,1931,"0","0","Master.Mariner",61.88,1937,1937,1943,1,12,"0","0","1",NA,NA,NA,NA,NA,NA
2838,858,1944,"0","0","Labourer",34.52,1948,1948,1955,NA,11,"1","0","1",NA,NA,NA,NA,NA,NA
1912,326,1910,"1","1","Labourer",34.52,1914,1914,1924,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1544,280,1896,"1","1","Boatman",57.2,1906,1906,1910,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1538,276,1896,"1","1","Labourer",34.52,1906,1906,1910,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
2835,855,1943,"0","0","Farmer",51.61,1948,1948,1953,NA,10,"1","0","1",NA,NA,NA,NA,NA,NA
2892,861,1946,"0","0","Baker",39.63,1950,1950,1955,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
2635,723,1936,"0","0","Carpenter",50,1941,1941,1941,NA,5,"1",NA,NA,NA,NA,NA,NA,NA,NA
2750,793,1938,"0","0","Postmaster",60.75,1945,1945,1946,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2757,798,1937,"0","0","Coastguard",57.72,1945,1945,1949,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA
2637,725,1936,"0","0","Labourer",34.52,1941,1941,1942,NA,6,"0","1",NA,1,NA,NA,NA,NA,NA
3040,998,1950,"0","0","Roundsman",46.09,1955,1955,1965,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
2900,624,1946,"0","0","Labourer",34.52,1950,1950,1957,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2444,598,1928,"0","0","Waiter",49.81,1931,1931,1937,NA,9,"1","0","1",NA,NA,NA,NA,NA,NA
1876,1004,1909,"0","0","",NA,1913,1913,1923,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2538,1004,1931,"0","0","Unemployed",NA,1936,1936,1945,2,14,"0","1",NA,1,NA,NA,NA,NA,NA
2460,611,1927,"0","0","Contractor",67.87,1933,1933,1940,NA,13,"0","0","1",NA,NA,NA,NA,NA,NA
2409,575,1923,"0","0","Fruiterer",50.04,1930,1930,1932,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
2291,500,1919,"0","0","Coastguard",57.72,1926,1926,1929,NA,10,"0","1",NA,1,NA,NA,NA,NA,NA
2450,602,1924,"0","0","Domestic.Servant",48.43,1932,1932,1932,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2769,806,NA,"0","0","Farmer",51.61,1946,1946,1955,NA,NA,"1","0","1",NA,NA,NA,NA,NA,NA
2581,1004,1925,"0","0","Guardian.Poynt",NA,1939,1939,1939,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2738,1004,1934,"0","0","Evacuee",NA,1945,1945,1945,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2229,470,1915,"0","0","Lightkeeper",51.63,1923,1923,1927,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA
2454,605,1927,"0","0","Customs.Officer",61.5,1932,1932,1935,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2825,746,1942,"0","0","Coastguard",57.72,1948,1948,1953,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2447,601,1919,"0","0","Baker",39.63,1931,1931,1932,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
2613,710,1935,"0","0","Carpenter",50,1940,1940,1943,NA,8,"1","0","1",NA,NA,NA,NA,NA,NA
2625,715,1935,"1","1","Baker",39.63,1940,1940,1946,NA,11,"1","0","1",NA,NA,NA,NA,NA,NA
2942,889,1947,"1","1","Farmer",51.61,1951,1951,1962,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
2328,515,1921,"1","1","Clerk.in.Holy.Orders",58.68,1927,1927,1934,NA,13,"0","1",NA,1,NA,NA,NA,NA,NA
1627,1004,1901,"1","1","",NA,1908,1908,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1209,108,1883,"1","1","Schoolmaster",58.13,1889,1889,1896,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
1762,1004,1904,"1","1","",NA,1910,1910,1912,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2729,1004,1934,"1","1","Evacuee",NA,1944,1944,1944,NA,10,"1",NA,NA,NA,NA,NA,NA,NA,NA
1179,30,1881,"1","1","Coastguard",57.72,1887,1887,1891,NA,10,"0",NA,NA,NA,NA,NA,NA,NA,NA
2721,1004,1939,"1","1","Evacuee",NA,1944,1944,1945,NA,6,"1",NA,NA,NA,NA,NA,NA,NA,NA
2713,779,1935,"1","1","R.A.F.",57.72,1944,1944,1945,NA,10,"1",NA,NA,NA,NA,NA,NA,NA,NA
2275,492,1920,"1","1","U.Milk.M",46.09,1925,1925,NA,NA,NA,"0","1",NA,1,NA,NA,NA,NA,NA
2322,511,1921,"1","1","Painter",38.33,1927,1927,1935,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1393,218,1890,"1","1","Stone.Cutter",50.25,1899,1899,1901,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2209,460,1913,"1","1","Coastguard",57.72,1923,1923,1928,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2585,692,1927,"1","1","Foreman.Labourer",60.84,1938,1938,1939,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA
1438,236,1889,"1","1","Labourer",34.52,1901,1901,1902,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
2526,657,1930,"1","1","Farm.Labourer",52.02,1936,1936,1940,NA,10,"0","1",NA,1,NA,NA,NA,NA,NA
1489,262,1898,"1","1","Farmer",51.61,1905,1905,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1256,140,1885,"1","1","Lightkeeper",51.63,1892,1892,1898,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
2022,1004,1913,"1","1","",NA,1917,1917,1929,NA,16,"0","1",NA,1,NA,NA,NA,NA,NA
2602,703,1933,"1","1","Labourer",34.52,1939,1939,1948,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1305,167,1886,"1","1","Coastguard",57.72,1894,1894,1895,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
1999,1004,1907,"1","1","",NA,1916,1916,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1219,115,1881,"1","1","Coastguard",57.72,1889,1889,1891,NA,10,"0",NA,NA,NA,NA,NA,NA,NA,NA
2472,617,1922,"1","1","Labourer",34.52,1933,1933,1933,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
1903,1004,1903,"1","1","",NA,1913,1913,1914,NA,11,"1","0","1",NA,NA,NA,NA,NA,NA
1271,147,1886,"1","1","Labourer",34.52,1893,1893,1899,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
1154,35,1880,"1","1","Labourer",34.52,1886,1886,1893,NA,13,"0",NA,NA,NA,984,52.66,3,NA,NA
2910,903,1943,"1","1","Carpenter",50,1950,1950,1951,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
1004,5,1871,"1","1","Lightkeeper",51.63,1878,1878,1884,NA,13,"0",NA,NA,NA,1433,48.27,1,NA,NA
2852,862,1943,"1","1","Baker",39.63,1949,1949,1949,NA,6,"1","1","0",NA,NA,NA,NA,NA,NA
1019,19,1873,"1","1","Carpenter",50,1879,1879,1886,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
1918,327,1908,"1","1","Lightkeeper",51.63,1914,1914,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2694,765,1938,"1","1","Labourer",34.52,1943,1943,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
2148,428,1915,"1","1","Labourer",34.52,1920,1920,1921,NA,6,"1",NA,NA,NA,NA,NA,NA,NA,NA
1152,76,1880,"1","1","Carpenter",50,1886,1886,1893,NA,13,"0",NA,NA,NA,NA,NA,NA,3688,53
3002,975,1949,"1","1","Farmer",51.61,1953,1953,1957,NA,8,"1","0","1",NA,NA,NA,NA,NA,NA
1661,1004,1903,"1","1","",NA,1909,1909,1916,NA,13,"0","1","0",1,NA,NA,NA,NA,NA
1202,48,1880,"1","1","Farmer",51.61,1888,1888,1896,NA,16,"0",NA,NA,NA,NA,NA,NA,NA,NA
1683,1004,1903,"1","1","",NA,1910,1910,NA,NA,NA,"0","1","0",1,NA,NA,NA,NA,NA
2474,619,1919,"1","1","Labourer",34.52,1934,1934,1934,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
1887,1004,1909,"1","1","",NA,1913,1913,1922,NA,13,"1","0","1",NA,NA,NA,NA,NA,NA
2188,434,1918,"1","1","Labourer",34.52,1922,1922,1933,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
1235,101,1882,"1","1","Sailor",50.99,1890,1890,1897,NA,15,"0",NA,NA,NA,NA,NA,NA,NA,NA
2099,400,1912,"1","1","Coastguard",57.72,1919,1919,1921,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
2893,891,1946,"1","1","Draper",50.04,1950,1950,1961,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
2271,490,1920,"1","1","Farmer",51.61,1925,1925,1930,NA,10,"1","0","1",NA,NA,NA,NA,NA,NA
3045,1000,1950,"1","1","Farmer",51.61,1955,1955,1965,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
2468,588,1927,"1","1","Farmer",51.61,1933,1933,1941,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1888,1004,1907,"1","1","",NA,1913,1913,1919,NA,12,"1","0","1",NA,NA,NA,NA,NA,NA
